Brand,Model,Year,Country,Condition,Engine_Size,Horsepower,Torque,Weight,Top_Speed,Acceleration_0_100,Fuel_Type,Drivetrain,Transmission,Fuel_Efficiency,CO2_Emissions,Price,Mileage,Popularity,Safety_Rating,Number_of_Owners,Market_Demand,Insurance_Cost,Production_Units,Log_Price,Log_Mileage,Modification
BMW,Corvette Z06,2014,USA,new,3.6,261,198,1574,255,2.6,Petrol,AWD,Manual,13.0,396,219601,77977,High,3,3,Medium,14582,1000,12.299572096044164,11.264182014605733,
BMW,911 Turbo S,1996,Asia,used,4.3,477,665,905,382,2.1,Petrol,FWD,Manual,14.7,294,410228,121112,High,4,4,Low,8274,1000,12.924470819342353,11.70447927307776,RS
Aston Martin,720S,2003,USA,new,4.2,1333,1613,946,247,2.7,Diesel,RWD,CVT,10.7,429,399925,172451,High,4,3,Low,4245,5000,12.899034808975507,12.057874215862247,Track Edition
Ferrari,Huracan,1981,Asia,used,6.6,544,1043,2330,282,6.3,Electric,FWD,Manual,11.4,114,356106,188406,Medium,1,2,Low,10189,5000,12.782986526472271,12.146359795423555,
McLaren,720S,1992,Europe,new,3.4,1112,738,1782,319,5.8,Petrol,AWD,CVT,12.8,315,431421,245012,Low,3,1,Medium,4733,5000,12.974842008391654,12.409066549343656,
BMW,Mustang GT,1994,Europe,new,2.8,861,424,1479,366,6.0,Petrol,FWD,Automatic,11.6,288,342385,19433,Low,3,4,Low,9616,100000,12.743694034563326,9.874779388399384,
Aston Martin,Huracan,1984,Europe,new,5.3,783,1591,1153,241,3.4,Electric,FWD,CVT,13.5,352,106405,4025,High,2,2,Medium,10905,20000,11.575017245277213,8.300528606199736,
Aston Martin,911 Turbo S,1982,Asia,new,5.5,514,318,2372,163,3.2,Petrol,AWD,DCT,13.8,429,426656,53034,High,3,2,Medium,6848,50,12.963735690721034,10.87870735193957,
Bugatti,720S,2016,Asia,used,2.4,641,1334,958,304,2.2,Diesel,FWD,DCT,11.3,151,271272,122134,Low,1,3,Low,8280,20000,12.510880972868842,11.712882269309102,
Ferrari,Chiron,2016,Europe,used,1.6,1196,1375,2316,165,4.4,Electric,RWD,DCT,10.3,158,379987,203840,Low,4,2,High,3546,20000,12.847894952256574,12.22509555716238,
Chevrolet,488 GTB,2016,Europe,new,7.5,1271,1717,1459,368,3.9,Electric,FWD,Automatic,8.9,275,481263,243642,High,4,2,Low,8550,200,13.084171255070089,12.40345931812367,Turbo
Bugatti,GT-R,1982,USA,salvage,2.1,190,673,1914,279,6.2,Petrol,AWD,Manual,9.6,394,366652,182588,High,3,1,Low,10881,200,12.812171175678571,12.114993004364589,Nismo
Bugatti,M4 Competition,2014,USA,new,7.3,682,1167,2114,296,5.4,Electric,AWD,Automatic,8.5,225,222557,235849,Low,2,1,Medium,13530,1000,12.31294302077613,12.370951288712407,Track Edition
Nissan,GT-R,2002,Europe,salvage,4.2,317,1604,1164,300,2.7,Electric,AWD,Manual,9.3,141,267836,140888,Low,2,1,Medium,4324,20000,12.498133865503673,11.855727625286312,RS
McLaren,Mustang GT,2007,Europe,new,5.8,582,302,2481,318,6.9,Electric,FWD,Automatic,14.0,406,112292,151637,Low,1,2,High,8567,100000,11.62886680574724,11.929251380411138,
Aston Martin,720S,2009,Asia,salvage,2.8,976,1576,2066,163,5.9,Petrol,RWD,Automatic,14.7,405,226546,187630,Medium,2,4,Medium,6560,5000,12.330707707897696,12.142232547105335,
McLaren,DBS,1997,Europe,new,6.9,316,726,1145,324,5.6,Electric,AWD,DCT,8.6,447,86069,95336,Low,3,1,High,6607,100000,11.36291619764352,11.465173261932716,Turbo
Porsche,Huracan,2015,USA,used,2.8,1067,202,2139,392,3.1,Petrol,AWD,Automatic,7.2,353,449744,248383,Low,1,4,High,8474,100000,13.0164360344636,12.422731214728577,
Nissan,720S,2012,USA,new,4.1,293,212,1336,212,6.5,Electric,RWD,DCT,5.8,165,396438,207264,Medium,3,2,High,12477,20000,12.89027746206766,12.241753446735556,
Chevrolet,Huracan,2005,USA,used,3.1,231,1421,1587,367,4.4,Diesel,AWD,Automatic,13.4,157,55463,55156,High,1,1,High,2601,5000,10.923489440622326,10.91793894319107,
McLaren,M4 Competition,2019,USA,used,7.0,1420,736,1375,157,3.5,Electric,FWD,CVT,13.7,226,247186,233675,Medium,2,4,Low,2701,20000,12.41790041418606,12.361690819489578,Supercharged
Lamborghini,Chiron,1996,USA,new,7.1,1306,1228,2307,176,5.3,Electric,AWD,DCT,9.5,103,370289,228527,Low,2,1,Low,2773,20000,12.822041761406084,12.33941402010241,
BMW,GT-R,2019,USA,salvage,4.0,820,692,1837,260,3.1,Electric,AWD,CVT,10.4,334,96651,180774,Low,3,1,Low,6928,100000,11.478872177645345,12.105008443043152,Supercharged
Porsche,488 GTB,1986,Europe,salvage,3.6,707,1351,1777,189,6.5,Diesel,FWD,Automatic,12.4,131,223759,249483,High,4,4,Low,14897,20000,12.31832932787584,12.427150063860893,
Ferrari,M4 Competition,1987,USA,salvage,6.6,740,700,1556,305,6.3,Electric,RWD,Automatic,8.8,274,444909,143307,High,2,4,Medium,14203,5000,13.005627293502645,11.872751439194495,V-Spec
Chevrolet,M4 Competition,2010,USA,salvage,7.2,665,1120,1446,217,4.3,Diesel,RWD,CVT,7.0,161,439395,179850,Medium,4,4,High,11418,5000,12.993156335568498,12.099884009297359,Nismo
Porsche,GT-R,1991,USA,used,5.6,1486,1587,1314,272,3.0,Diesel,AWD,Manual,6.1,325,439367,133167,High,3,2,Medium,14213,50,12.99309260969896,11.799366767985877,Sport
BMW,M4 Competition,2010,USA,salvage,7.5,890,893,2055,210,4.5,Diesel,FWD,Manual,7.4,243,29306,29319,High,2,3,Low,11924,50,10.285581674321051,10.286025156000587,
Nissan,DBS,2023,Europe,used,4.1,1025,972,1297,315,2.7,Petrol,FWD,Manual,11.5,117,440503,67378,High,2,3,High,5539,1000,12.995674804907381,11.118088675651244,RS
BMW,DBS,1998,Asia,new,2.6,1100,1513,2430,352,3.3,Petrol,RWD,Automatic,8.5,319,44285,6535,Low,4,2,High,10464,100000,10.698423878998106,8.785080636539838,GT
Bugatti,Corvette Z06,1989,Asia,used,2.7,253,770,2076,277,4.4,Diesel,RWD,Manual,13.7,333,434795,65124,Medium,3,4,Medium,10787,5000,12.98263223455486,11.084063779055668,V-Spec
BMW,Corvette Z06,2018,Asia,salvage,5.9,1455,911,2483,257,2.1,Petrol,RWD,Manual,5.9,334,181002,79088,High,4,4,Low,13173,200,12.106268884696242,11.278329079610037,Track Edition
Bugatti,DBS,1991,Asia,used,4.2,797,595,1067,301,5.8,Diesel,FWD,Automatic,9.2,420,398508,103631,Low,2,2,Medium,748,5000,12.895485361649973,11.548601441422697,
Nissan,911 Turbo S,1999,USA,new,2.6,478,623,1702,305,3.0,Petrol,FWD,Automatic,7.6,179,346065,74211,High,1,3,High,8717,5000,12.754384787294203,11.214681141146768,
Ford,Chiron,2016,Asia,new,3.5,378,350,1129,318,6.3,Petrol,FWD,Manual,13.9,392,239564,134015,Low,2,2,Low,11908,100000,12.386580057758518,11.805714474790154,
Bugatti,Huracan,2020,Asia,used,5.0,1424,997,1602,295,2.1,Electric,AWD,Manual,13.1,172,30115,111313,Low,4,4,Low,5879,100000,10.312811870970013,11.620110315516742,
Ferrari,Chiron,1986,Europe,salvage,2.4,836,1503,2327,198,4.7,Petrol,AWD,CVT,14.8,436,166521,248427,High,1,4,Medium,10748,20000,12.022882711806085,12.422908344105949,Sport
BMW,Mustang GT,1993,Europe,new,1.6,842,1706,1043,362,5.9,Petrol,RWD,Automatic,6.2,199,234462,141652,Low,4,1,Medium,3047,100000,12.365053071903509,11.861135683996622,
BMW,M4 Competition,1990,Europe,new,7.5,1136,1162,2454,303,3.2,Electric,RWD,Automatic,12.8,355,41056,42051,Low,1,3,Medium,14077,1000,10.622716624094574,10.646662226695721,GT
Ferrari,488 GTB,1986,USA,new,3.6,376,809,967,152,5.5,Diesel,AWD,CVT,6.3,414,230074,125297,Medium,1,4,Low,10040,20000,12.346160621707057,11.73845017906483,Supercharged
Lamborghini,M4 Competition,2008,USA,used,3.0,610,328,1917,226,5.6,Electric,AWD,DCT,6.6,261,349577,46150,Low,4,2,High,10649,100000,12.764481991721615,10.739673908168612,
Aston Martin,Chiron,1989,USA,new,6.1,227,250,997,315,5.2,Petrol,AWD,DCT,5.4,392,183685,181345,Medium,4,2,Low,14628,5000,12.12098305708506,12.108162087671543,
Ford,DBS,2008,Europe,used,7.1,458,862,906,369,3.8,Petrol,AWD,Automatic,9.6,261,163498,215009,Low,1,3,Low,8219,100000,12.00456215309279,12.278439817656075,
Chevrolet,GT-R,1988,Asia,salvage,5.6,1158,503,1714,291,5.9,Diesel,RWD,Automatic,6.3,228,369414,220780,High,1,2,Low,10916,1000,12.819675952311597,12.304926538957863,RS
Bugatti,Mustang GT,2015,Europe,used,3.2,588,1235,1076,278,5.1,Petrol,AWD,Manual,8.5,408,161353,109412,Low,2,3,Low,12233,20000,11.991355988000214,11.602884991892013,
Ferrari,DBS,1989,USA,new,7.1,925,1686,2129,241,5.0,Electric,AWD,DCT,7.8,352,79627,80669,Low,4,2,Medium,9222,20000,11.285121068773824,11.29812203793102,
Nissan,Chiron,1998,Europe,salvage,4.9,722,481,1198,272,6.1,Diesel,FWD,Manual,14.8,161,377973,213593,Medium,2,2,Medium,5656,20000,12.842580689167278,12.271832295786007,
Bugatti,GT-R,2010,Asia,used,4.0,627,880,1128,377,3.2,Electric,RWD,DCT,11.6,242,370555,128395,High,3,4,High,7460,5000,12.822759859395221,11.762874517104768,
Aston Martin,488 GTB,1996,USA,new,5.5,216,1267,1795,267,3.2,Petrol,RWD,CVT,9.1,322,281797,232522,Low,4,3,Low,14053,100000,12.54894578118945,12.356744423848001,
Nissan,Chiron,1988,Asia,new,6.1,531,1062,1530,391,3.9,Diesel,FWD,Manual,13.8,406,390885,181276,High,3,4,Low,4985,1000,12.87617123635329,12.1077815271399,
Porsche,Huracan,2024,Asia,used,5.4,1446,767,1169,160,2.4,Petrol,RWD,CVT,5.6,113,338808,88893,Low,3,3,High,1843,5000,12.733191805751956,11.395199927660784,
BMW,720S,2012,USA,used,7.5,1434,1416,980,384,3.7,Petrol,RWD,CVT,8.3,197,411229,33290,Low,4,4,Low,1418,1000,12.926907947660288,10.413042369168673,
Porsche,GT-R,2013,Asia,salvage,5.6,326,474,2111,317,4.0,Electric,AWD,DCT,10.1,158,72257,170056,Medium,3,4,Low,6593,5000,11.187998326488534,12.043888953951534,
Bugatti,Chiron,2024,Europe,new,7.2,893,219,1719,153,4.5,Petrol,AWD,Automatic,5.5,279,373561,198873,High,1,1,High,7186,5000,12.830839267101602,12.200426737343347,Sport
Aston Martin,DBS,2003,Asia,new,5.4,1236,850,1400,311,3.3,Electric,RWD,Automatic,6.5,100,428806,233589,Low,2,4,High,8232,1000,12.968762213232349,12.361322720800732,GT
Ford,Huracan,1988,Asia,new,3.7,156,420,1605,342,6.5,Petrol,FWD,CVT,14.0,326,78165,115898,High,1,4,High,10772,20000,11.266590049379342,11.660474401162924,
Bugatti,911 Turbo S,1986,Asia,used,5.0,264,728,2410,333,3.4,Electric,FWD,Automatic,6.8,244,387002,217343,High,3,2,High,7172,1000,12.866187723919857,12.28923663079091,Sport
Ferrari,GT-R,1995,Europe,used,2.2,1243,1001,2411,159,6.3,Electric,RWD,Manual,14.2,411,479988,14407,High,1,2,Low,1076,20000,13.081518465954815,9.575538886855792,Sport
McLaren,Huracan,1998,Asia,new,3.1,335,322,1889,230,4.2,Diesel,RWD,DCT,6.0,232,449332,172244,Low,4,3,High,7410,100000,13.015519539946242,12.056673160878399,GT
Bugatti,DBS,2018,Asia,new,6.5,1180,1164,2401,220,5.6,Diesel,RWD,Manual,13.9,244,486485,102471,High,3,1,High,14783,5000,13.094963403215713,11.53734486951097,Track Edition
BMW,Chiron,1985,Europe,salvage,5.8,1380,1341,1602,252,2.6,Petrol,RWD,Automatic,9.5,373,97495,182057,Low,4,3,Medium,7222,100000,11.487566630503338,12.112080596609507,
BMW,M4 Competition,1990,USA,salvage,2.7,732,231,2212,341,4.7,Petrol,AWD,CVT,10.7,444,450300,130949,Medium,3,2,Medium,672,5000,13.017671527028924,11.782570849935858,GT
Bugatti,488 GTB,1991,USA,new,4.4,1221,1292,1005,290,6.8,Diesel,AWD,DCT,7.8,410,46209,68406,Low,3,3,High,4683,100000,10.740951503864311,11.133230437555632,Supercharged
Nissan,M4 Competition,2021,USA,used,2.5,491,500,1540,171,5.3,Electric,RWD,CVT,7.7,146,30814,248785,High,4,2,High,732,50,10.335756863396343,12.424348368167477,
McLaren,720S,1992,Asia,restored,7.1,1413,874,1508,205,6.1,Electric,FWD,DCT,9.9,307,475642,34053,Medium,3,2,Medium,7395,20000,13.072422851822852,10.43570277898059,
Ferrari,Huracan,1991,USA,new,2.3,787,1073,1895,271,3.3,Diesel,AWD,Manual,8.6,338,483401,238868,Low,2,3,High,6337,20000,13.088603884603325,12.383670563487714,
Bugatti,720S,2000,Europe,new,5.8,1216,1326,1908,342,6.0,Diesel,RWD,Automatic,5.8,341,301336,162219,High,4,2,Medium,10776,20000,12.615984518773764,11.996708717624335,
Nissan,488 GTB,1989,Asia,new,5.5,1101,915,2499,241,3.8,Petrol,FWD,Manual,8.5,203,167565,188399,Low,3,2,Medium,5967,1000,12.029132582488629,12.1463226411244,Supercharged
BMW,Huracan,1999,Asia,new,4.6,1109,456,2146,246,4.4,Electric,AWD,CVT,7.5,376,429241,221943,Low,2,1,Medium,11022,20000,12.969776141428214,12.310180376781213,Track Edition
BMW,Corvette Z06,2015,Asia,used,3.4,1070,1481,1281,290,2.9,Diesel,AWD,Manual,13.5,256,374500,178036,Medium,2,1,Low,14983,20000,12.833349752162816,12.089746672841791,
Aston Martin,DBS,2007,USA,new,4.2,1037,1443,1737,150,4.4,Electric,RWD,Automatic,13.4,287,216243,199087,High,3,2,Medium,12226,200,12.284162678744467,12.201502217015411,Nismo
Bugatti,Huracan,2003,USA,new,6.8,375,1744,1003,187,4.6,Electric,FWD,Automatic,6.4,273,93671,177238,Low,2,2,High,7581,100000,11.44755459752856,12.085254383230255,
McLaren,DBS,1984,USA,used,6.5,407,341,1563,396,5.1,Diesel,RWD,Manual,12.3,199,440723,191395,Low,3,4,High,9612,20000,12.996174108162771,12.162099859141023,
Lamborghini,M4 Competition,2016,Asia,new,6.3,476,1131,2037,335,6.3,Electric,AWD,DCT,9.5,109,156913,209,High,3,4,Medium,3679,200,11.963453163548628,5.3471075307174685,
McLaren,Mustang GT,1991,Europe,used,6.4,501,879,2431,302,3.5,Petrol,FWD,Automatic,13.7,183,116639,172924,High,3,2,Low,5689,5000,11.666847547242485,12.060613253468786,
BMW,GT-R,2014,Asia,new,2.5,938,1552,1978,191,6.9,Diesel,AWD,Automatic,7.7,152,217060,50394,Low,3,1,High,2214,1000,12.287933699010493,10.827647242788977,
BMW,Mustang GT,2019,Europe,new,2.2,978,808,1020,234,6.2,Electric,RWD,Automatic,5.9,226,343011,20396,High,2,2,Medium,9825,1000,12.745520710958841,9.92314311019457,
Porsche,Chiron,1981,Asia,salvage,7.1,252,237,2140,310,4.0,Diesel,RWD,Automatic,13.0,234,77074,30338,Low,1,1,High,10906,100000,11.252534252754351,10.32018929257028,
BMW,GT-R,2020,Europe,new,7.0,1210,293,1926,334,3.1,Diesel,AWD,DCT,13.7,385,437898,83898,Medium,4,1,Medium,876,20000,12.989743569160483,11.337368973433133,Sport
Ferrari,GT-R,2024,Asia,used,6.0,289,1362,2015,186,2.4,Electric,RWD,DCT,13.4,448,118308,178425,Low,1,4,High,12125,5000,11.681055124841096,12.09192922841933,
Chevrolet,911 Turbo S,2018,Asia,new,5.5,1280,1519,1306,395,3.2,Petrol,RWD,CVT,8.3,154,467631,22283,High,3,2,Low,3601,20000,13.055436940797964,10.011624211140706,
Bugatti,GT-R,2021,Europe,used,3.9,866,438,1575,334,6.4,Diesel,AWD,CVT,5.3,343,183976,85075,Low,3,1,Low,7202,100000,12.122566028777971,11.351300253634435,
McLaren,488 GTB,1988,Europe,used,3.0,1464,1732,1340,247,3.5,Electric,FWD,CVT,6.4,164,323896,54290,Medium,3,2,Low,5282,5000,12.68818084299859,10.902113746328311,
Chevrolet,Mustang GT,2001,Europe,new,5.9,647,1231,1331,211,2.7,Diesel,AWD,Manual,14.2,120,39896,247163,Low,1,3,Low,13861,100000,10.594056412081272,12.417807362892477,
Nissan,M4 Competition,1984,Europe,used,7.4,1064,1221,1808,280,2.1,Diesel,AWD,Manual,8.6,362,165573,54660,Low,4,3,High,11023,100000,12.01717350377583,10.908905754228723,Sport
Lamborghini,DBS,1991,Europe,new,4.4,1418,560,960,179,3.5,Electric,FWD,CVT,13.8,399,66727,96818,High,1,4,High,10514,20000,11.108379933921448,11.48059853499581,
Ferrari,Chiron,1980,Europe,salvage,3.5,875,1344,1625,396,3.1,Petrol,RWD,Automatic,14.8,423,291999,38802,Medium,4,3,Low,12988,20000,12.584509081250419,10.566252842209988,
McLaren,GT-R,2023,Europe,new,3.3,417,1719,2396,344,2.5,Electric,FWD,CVT,9.0,347,223840,233464,High,3,3,High,9967,50,12.318691257366098,12.360787451922402,
Chevrolet,Chiron,2001,Europe,used,1.8,549,534,2170,340,6.8,Diesel,AWD,Manual,12.8,242,208830,187900,High,2,2,Medium,3363,50,12.249280591403371,12.14367050736717,Turbo
Lamborghini,M4 Competition,2017,Asia,new,4.9,269,1147,1838,231,3.3,Petrol,FWD,DCT,6.7,197,339264,171275,High,2,4,Low,11445,1000,12.734536791900197,12.051031569417768,V-Spec
Porsche,Chiron,1998,Europe,used,7.9,836,1069,1768,172,2.0,Petrol,RWD,Automatic,8.8,101,31702,238683,Low,1,4,High,6568,100000,10.364166592611527,12.382895780335879,
Ferrari,M4 Competition,1995,Europe,salvage,6.8,827,202,2295,349,6.7,Petrol,FWD,Automatic,12.1,230,436123,206520,High,2,3,Medium,2594,1000,12.985681885565839,12.238157381127902,Supercharged
Ferrari,GT-R,2010,Asia,used,7.3,1116,1108,2212,350,4.9,Petrol,FWD,Automatic,7.1,275,264863,41380,Medium,2,2,Medium,672,20000,12.486971765685121,10.63057711727143,
Porsche,M4 Competition,1982,Asia,new,5.6,604,612,1947,215,2.4,Diesel,AWD,Manual,8.2,146,175844,195873,Low,4,2,High,10933,100000,12.077358204174038,12.185226874348544,
Bugatti,GT-R,2002,USA,used,4.7,518,125,1305,338,2.2,Electric,FWD,Automatic,10.6,340,130161,47865,Low,3,4,Low,8163,100000,11.776535107478617,10.776160719254559,
Porsche,911 Turbo S,2021,USA,new,7.9,640,824,2231,151,2.5,Electric,AWD,Automatic,11.9,126,437571,36943,Low,2,2,Medium,11370,5000,12.988996542667985,10.517158531594276,Nismo
Ferrari,911 Turbo S,1997,Europe,new,4.5,667,466,1512,304,5.0,Petrol,RWD,DCT,8.6,135,389235,73022,Low,3,2,Low,10191,20000,12.87194112244699,11.198529739000024,Nismo
Ferrari,M4 Competition,2005,Europe,new,7.5,342,653,2295,325,2.3,Petrol,FWD,Automatic,8.8,438,390165,227188,Medium,3,4,High,12119,20000,12.874327568572024,12.333537549164108,
Chevrolet,911 Turbo S,1992,USA,new,6.5,1026,776,1114,380,4.8,Electric,FWD,Manual,6.1,435,181943,113283,Low,3,2,High,13322,20000,12.111454226404248,11.6376532190386,
BMW,DBS,1997,USA,used,3.7,1418,1074,1161,212,5.3,Petrol,AWD,Automatic,14.8,279,418012,209333,Low,3,1,High,1415,20000,12.943267811501752,12.25168634149053,Turbo
Lamborghini,DBS,1982,Europe,new,4.8,1496,570,1814,377,2.7,Electric,AWD,Manual,11.1,150,217330,155502,High,2,4,Low,11156,1000,12.289176815986728,11.954420303019827,Sport
Porsche,911 Turbo S,2002,USA,used,4.1,1191,1288,2269,154,4.4,Electric,RWD,DCT,10.3,441,79419,205033,Low,1,3,Low,5849,20000,11.282505504685242,12.230931098026884,
Lamborghini,911 Turbo S,1982,Europe,new,2.5,362,1145,2336,278,6.8,Petrol,AWD,DCT,7.1,259,338523,57653,High,2,1,Medium,13388,1000,12.73235026985508,10.962214907505322,Track Edition
Porsche,Corvette Z06,2004,Asia,new,3.9,389,1431,1022,299,6.2,Electric,AWD,Automatic,9.9,357,241277,206853,Medium,1,1,Medium,10787,5000,12.393705074642705,12.239768509386899,Nismo
Nissan,Corvette Z06,2006,Asia,used,7.3,437,1037,1663,223,5.6,Electric,RWD,CVT,9.5,116,227846,121222,Medium,1,4,Low,13187,1000,12.336429630048404,11.705387103590393,
Ferrari,GT-R,2023,USA,new,6.4,532,1368,1219,258,4.6,Electric,AWD,DCT,7.6,378,465262,131873,High,3,3,High,12377,200,13.050358116080812,11.789602200245328,
BMW,M4 Competition,2006,Asia,new,3.4,1126,1073,2260,173,4.0,Petrol,AWD,Automatic,9.5,271,81553,110659,Low,2,4,Low,14833,100000,11.309020656509048,11.614217716452101,
Chevrolet,720S,2018,Asia,new,4.0,1414,1580,1057,208,4.3,Diesel,AWD,DCT,7.0,401,98664,178062,Low,4,2,Medium,994,100000,11.499485552603526,12.08989269923913,GT
BMW,720S,2004,Asia,new,5.5,879,333,2250,356,5.8,Diesel,AWD,DCT,12.1,153,357019,229900,Low,1,4,High,5018,20000,12.785547081601543,12.345404060459082,V-Spec
BMW,911 Turbo S,2003,Asia,used,4.3,1259,1019,1988,374,4.8,Diesel,RWD,Manual,14.1,112,411070,51912,Low,1,2,Medium,4730,100000,12.92652122795064,10.857324519484246,Track Edition
BMW,Chiron,1987,Europe,new,4.8,1400,1309,1268,327,5.8,Diesel,RWD,CVT,5.0,301,440096,154404,Medium,2,3,High,3231,20000,12.994750436143365,11.94733429946817,V-Spec
Lamborghini,911 Turbo S,1988,Europe,new,6.1,433,492,1769,172,6.8,Diesel,AWD,Manual,10.6,426,450092,75728,High,4,4,Low,10453,20000,13.017209507060555,11.234916457214133,
Porsche,Corvette Z06,2016,USA,used,4.6,472,772,1927,355,5.2,Petrol,FWD,Automatic,12.3,345,336131,221605,Low,4,3,Medium,14148,100000,12.725259218940035,12.308656309300996,
Ford,GT-R,2009,Asia,salvage,2.8,1191,626,1585,295,5.0,Petrol,RWD,Automatic,14.1,370,441057,174797,High,1,3,High,11684,1000,12.996931665055458,12.071386300490518,Turbo
Nissan,911 Turbo S,1998,Asia,new,4.9,984,1102,1813,238,4.0,Diesel,FWD,Manual,8.6,327,432201,205028,Low,2,1,Medium,603,5000,12.97664835053149,12.230906711530174,
McLaren,Mustang GT,1995,Asia,used,3.9,1199,695,1983,171,3.0,Diesel,AWD,CVT,14.1,161,404932,93086,Low,4,4,Low,4087,20000,12.91147690030451,11.441289818714022,
BMW,Chiron,2003,USA,new,3.5,1373,452,1968,193,3.9,Electric,AWD,CVT,13.3,300,53976,8129,Low,3,4,Medium,11520,1000,10.896313308888274,9.003316202541855,
Bugatti,Mustang GT,2023,Europe,new,3.7,385,331,1483,193,4.6,Electric,RWD,CVT,10.3,251,267842,159085,High,4,1,Medium,14093,1000,12.498156266937366,11.977200215482377,
Lamborghini,GT-R,2000,Asia,new,4.4,266,408,1442,186,2.2,Electric,FWD,DCT,7.6,169,331545,230866,Low,1,3,High,3968,100000,12.711521842178918,12.349597066116132,Turbo
Chevrolet,GT-R,2015,Europe,used,7.3,1384,729,1055,156,4.4,Diesel,RWD,Automatic,11.5,288,216561,17106,Low,3,4,High,10579,100000,12.285632159561384,9.747243015452291,
McLaren,DBS,2019,USA,new,6.3,947,285,1787,367,6.3,Diesel,RWD,DCT,7.6,426,66718,25403,High,4,3,Low,3998,5000,11.108245048910714,10.142661920922865,RS
Ford,Huracan,2018,Europe,salvage,5.9,1102,245,1651,173,6.9,Petrol,RWD,Manual,8.5,307,477747,125942,Medium,4,3,High,6527,1000,13.076838675803856,11.7435847026261,
Bugatti,Mustang GT,1985,Asia,new,4.6,167,1300,963,354,6.3,Electric,AWD,CVT,9.7,230,372193,248076,Low,4,4,High,2411,5000,12.827170502694958,12.421494460827944,
Ford,DBS,1984,Europe,new,1.6,1308,1716,1320,318,2.9,Electric,FWD,DCT,10.0,256,216311,136084,Medium,1,3,Medium,6593,5000,12.284477088904355,11.82103496948703,GT
McLaren,Corvette Z06,1993,Europe,restored,3.8,234,1175,1222,219,2.8,Petrol,AWD,CVT,6.9,376,200470,37035,Low,3,1,Low,9800,100000,12.208424876863628,10.519645691567938,Nismo
BMW,488 GTB,2024,USA,new,6.8,384,393,2032,362,4.0,Petrol,AWD,DCT,11.9,153,68847,203547,Low,1,3,Low,1812,100000,11.13965645507838,12.223657128287176,V-Spec
Bugatti,Chiron,2021,USA,new,4.1,617,1444,2386,220,3.1,Petrol,AWD,Automatic,14.9,343,337078,169912,Low,4,3,High,9014,5000,12.728072603227089,12.043041820330265,Turbo
Ford,488 GTB,1983,USA,new,5.2,587,1164,1446,295,5.4,Electric,RWD,CVT,7.4,314,67928,7808,Medium,2,4,Medium,3322,20000,11.12621832104063,8.963032193662675,
Chevrolet,M4 Competition,1987,USA,new,2.9,657,1667,1150,356,2.4,Petrol,AWD,DCT,10.5,110,498641,205794,High,3,3,Low,7362,200,13.119643682384362,12.234635806654488,
Porsche,Corvette Z06,2003,Europe,new,7.5,720,734,1765,221,4.2,Diesel,AWD,Manual,9.5,318,181070,191881,Low,2,3,Low,14330,5000,12.106644498525455,12.164635878742834,Sport
Ferrari,Corvette Z06,1990,Europe,new,7.5,654,395,1409,209,3.4,Diesel,AWD,DCT,8.1,304,244604,138759,High,1,4,Medium,8478,50,12.407399943563487,11.840501101083685,
Porsche,488 GTB,1996,USA,new,2.5,499,1150,2471,329,5.0,Diesel,AWD,Manual,9.2,300,130719,1996,High,3,2,High,8355,20000,11.780812910093829,7.599401333415815,
McLaren,Mustang GT,2000,USA,new,6.2,231,1135,1340,357,6.0,Petrol,AWD,Manual,12.3,171,285885,91070,High,3,2,High,7373,1000,12.563348408940733,11.419394701065979,Nismo
Lamborghini,Huracan,2005,Asia,salvage,2.1,1045,1598,1353,326,6.6,Electric,AWD,CVT,9.1,208,292323,97746,Low,4,3,High,5261,100000,12.585618055152587,11.490137786839563,Supercharged
Ferrari,Mustang GT,2022,Asia,new,5.4,793,1273,1543,344,6.8,Electric,FWD,Automatic,10.1,126,62332,224578,Medium,1,1,Medium,8767,20000,11.040246259560732,12.32198281736036,
Nissan,488 GTB,2023,USA,new,2.7,819,1442,1716,194,3.8,Petrol,RWD,Manual,9.8,448,154379,244599,Low,4,4,Medium,10158,100000,11.947172374503845,12.407379502235209,RS
Chevrolet,M4 Competition,2024,Europe,salvage,2.5,728,216,1578,286,6.3,Petrol,AWD,Manual,10.6,388,26777,20729,Low,4,4,Low,5223,100000,10.195335933857324,9.939337205429824,
Nissan,Mustang GT,2006,USA,used,1.6,729,396,1173,265,5.0,Electric,RWD,Automatic,7.9,104,73034,214938,Medium,1,2,Medium,5291,1000,11.19869405728491,12.278109545923169,
Bugatti,720S,1995,Europe,new,7.6,670,1428,959,388,5.5,Diesel,FWD,Automatic,10.1,364,329621,166673,High,4,1,High,5984,20000,12.705701822362748,12.023795087768248,
Ferrari,Mustang GT,2005,Europe,new,6.9,518,919,1241,303,6.3,Diesel,FWD,Automatic,6.3,240,25018,9250,High,1,2,Low,10805,1000,10.127390815196579,9.132486932771318,
Nissan,GT-R,2012,Asia,used,2.1,492,1316,2317,303,2.7,Electric,RWD,Manual,12.4,324,195072,4476,Medium,2,2,Medium,3675,5000,12.181129126465406,8.406708458240965,Turbo
Nissan,DBS,2010,USA,new,5.4,1060,451,1012,179,6.7,Petrol,FWD,Automatic,6.1,449,73311,106283,Medium,4,3,Medium,543,5000,11.202479585253222,11.573870035597583,
